time,NaOH,CaCl2,DHA,formaldehyde,glycolaldehyde,erythrulose,lyxose
1.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
2.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
3.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
4.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
5.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
6.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
7.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
8.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
9.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
10.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
11.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
12.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
13.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
14.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
15.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
16.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
17.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
18.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
19.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
20.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
21.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
22.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
23.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
24.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
25.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
26.0,30.0,14.999999999999998,14.999999999999998,59.99999999999999,14.999999999999998,14.999999999999998,14.999999999999998
