time,DHA,NaOH,CaCl2,formaldehyde
1.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
2.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
3.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
4.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
5.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
6.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
7.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
8.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
9.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
10.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
11.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
12.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
13.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
14.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
15.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
16.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
17.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
18.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
19.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
20.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
21.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
22.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
23.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
24.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
25.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
26.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
27.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
28.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
29.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
30.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
31.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
32.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
33.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
34.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
35.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
36.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
37.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
38.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
39.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
40.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
41.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
42.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
43.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
44.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
45.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
46.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
47.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
48.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
49.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
50.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
51.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
52.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
53.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
54.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
55.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
56.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
57.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
58.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
59.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
60.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
61.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
62.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
63.0,50.000000000000014,30.000000000000007,15.000000000000004,100.00000000000003
