,ACCOA,ACO,ACP,AKG,BPG,CIT,DAP,E4P,F6P,FDP,FUM,G6P,GAP,GL6P,GLX,ICIT,KDPG,MAL,NAD,NADH,NADP,NADPH,OAA,PEP,PGA2,PGA3,PGN,PYR,Q,QH2,R5P,RU5P,S7P,SUC,SUCCOA,X5P,ei,eiP,eiia,eiiaP,eiicb,eiicbP,hpr,hprP,icd,icdP,tal,talC3,tkt,tktC2,ADP,AMP,ATP,CAMP,COA,HCO3,P,MG,ASP,CYS,MN,Hin,H2O,O2,FAD,FADH2,ACEx,GLCx,Px,ACEx_0,Hout,GLCp,Pp,ACEp,G3P,GLY,MCOA,LGLU,BA,MCOAp,MCOAx,BAp,BAx,GLYp,GLYx,DAH
8520.0,0.12541098926702524,0.04795315586922674,0.025805395576597615,0.1928897026763235,0.66185549207065,0.1291915713951403,0.5020464182327421,0.0518936540678618,0.009268019484288154,0.3531631312415386,0.3579473227407034,0.025633774883262638,0.13326694220883528,7.55648846834472e-05,0.007532251951174231,0.1625793650260799,0.08483291100637026,1.7715385093380855,0.6863470632347336,0.8836529374614754,0.03625089690172591,0.2207491027257611,0.03709384110681636,1.4199192647889918,0.5393755881439799,0.988890817740432,0.00321223231921383,0.30937056701945437,0.08313017971748314,0.9168698199339967,0.01048639691684156,0.03176523569192697,0.001237197505433602,0.22639413421318,0.15242989569749985,0.047697008150937116,0.00043127140796518003,0.006283904364991429,0.001044204375583592,0.4937261953008242,2.9956303578943875e-07,0.0003895127984123615,1.4897170175989333e-05,0.005427126439234441,0.0004431909121012649,0.051556809609610704,0.036784190605480195,0.023215809359675682,0.05156635343085567,0.018433646487669007,0.10279215991812425,0.028634032861013327,3.1050843960891426,1.043389572683044,0.5,1.4,19.34385306020015,1.0,1.246899596388359e-05,0.085,0.3,3.16227766e-05,1.0,0.21,0.0687804637725657,0.931219536304267,4.6514135736747745e-05,4.626833312423977e-19,10.0,5.36247488102698e-05,7.29612605661237e-05,4.634824574177512e-19,9.880566215232943,5.130412493043977e-05,1.0391775744010958,33.03989121985475,0.439995676237107,0.6074875367119457,0.3638253927271741,0.3977725810585339,0.37722402982041825,0.3293235284685105,0.31251026593149184,49.78576131437574,132.21919393964964,5.178004862755713
8521.0,0.1254129836146241,0.04781861505986093,0.02580539532200287,0.19455552025364975,0.6618336582132678,0.12914932032896162,0.5020608600201706,0.05189364994378953,0.009267835637142669,0.3531639606540812,0.35794679380302236,0.025624999442712057,0.13326713197849707,7.729095423718235e-05,0.007531512723703079,0.16108860185686869,0.08483290424645822,1.771497754856484,0.7048869012866267,0.8651130994095824,0.22206112587962282,0.24175473717369253,0.037132682878567,1.4199193399776588,0.5393763750719848,0.9889149228951514,0.0032105954540151307,0.30936315817322757,0.08361967086623615,0.9163803287852433,0.010486482273861349,0.03177372172863209,0.0012371987276081783,0.2264715801747314,0.15235337227793888,0.04769734155631062,0.0004312540954858857,0.006283921677470721,0.0010442013072900732,0.4937261983691176,2.9956219002090585e-07,0.0003895127992581299,1.489709653730004e-05,0.005427126512873125,0.0004431912156727745,0.05155680930603917,0.03678422515394008,0.023215774811215794,0.05156635604526016,0.01843364387326455,0.10289615054646178,0.028634067539301214,3.1049803722939644,1.0433895711715968,0.5,1.4,19.34395340286229,1.0,1.2470834166217724e-05,0.085,0.3,3.16227766e-05,1.0,0.21,0.06878789054659676,0.931212109530236,4.6529767317450784e-05,4.6268327241524895e-19,10.0,5.362474964486991e-05,7.279449073709326e-05,4.633782527088905e-19,9.880661348595911,5.13060473813801e-05,1.0391582692538353,33.039682741747285,0.43999568036741477,0.6074921409016448,0.3638253914393363,0.39777258119331155,0.3772240294797122,0.3293235281376217,0.3125102660531392,49.78575404455562,132.21917986614946,5.178212957808773
8522.0,0.1254229711282227,0.04740941391961639,0.025805421343417893,0.19794512480410542,0.6615995737823346,0.12884260462994918,0.5020782850103105,0.05189360750217252,0.00926694090802349,0.35316685204585824,0.35793840865000554,0.025605624830286257,0.1332656576399385,7.832816951969263e-05,0.00752760688558192,0.1584095378943809,0.08483284030215997,1.7711922035446093,0.7502140979860834,0.8197859027101256,0.3741466078155849,0.2947299735676892,0.03742493798534608,1.4199246231838347,0.5393921361364918,0.9891507603692155,0.003213288659827515,0.30931896631037015,0.08597404829443141,0.9140259513570484,0.010486881241856481,0.03178856440666574,0.0012372101559478164,0.2268778026400142,0.15195129326122525,0.0476989132924901,0.0004311494173159269,0.006284026355640678,0.001044162225558038,0.4937262374508497,2.9955116579146494e-07,0.0003895128102823592,1.489637262659444e-05,0.005427127236783831,0.00044319439570024216,0.05155680612601172,0.03678452620407404,0.023215473761081833,0.051566367592905095,0.018433632325619627,0.10337296305585517,0.0286344780809126,3.104503165323892,1.0433895550906633,0.5,1.4,19.344507080802916,1.0,1.2534164504379125e-05,0.085,0.3,3.16227766e-05,1.0,0.21,0.06887010695612725,0.9311298931207055,4.665051562859418e-05,4.626828539920916e-19,10.0,5.36247697599595e-05,7.239899844882239e-05,4.630774442124908e-19,9.881189452507785,5.133305166357541e-05,1.0391193992417103,33.03843622045251,0.43999573231487726,0.6075174248608582,0.36382553883576674,0.39777259081078836,0.37722402914492065,0.3293235487534473,0.312510266182202,49.78569306711639,132.21916579111132,5.179471962103522
8523.0,0.1254398497338681,0.04689661208264489,0.025805523709149625,0.20174793161507326,0.6608706512034764,0.1282015524525154,0.5020843153422395,0.05189347447023246,0.009265299523038267,0.35316923198299316,0.35790515374733317,0.025583301283162767,0.1332612479215612,7.875563344290384e-05,0.007519651302801298,0.15576314568352514,0.08483260208675526,1.7704294472826203,0.809844513055978,0.760155487640231,0.5050599631385998,0.367137086370733,0.03814755305414652,1.4199552975049892,0.5394641691193343,0.9898433215858172,0.0032183596504014086,0.3092194240681444,0.09038195316403627,0.9096180464874436,0.01048762131588873,0.031804043943672276,0.0012372414648569008,0.22766507866975536,0.15116911277407086,0.04770183970086568,0.0004309113256586968,0.0062842644472979065,0.0010440228040050595,0.4937263768724026,2.9951153409169695e-07,0.000389512849914059,1.4894041672772614e-05,0.005427129567737651,0.00044320448318714746,0.0515567960385248,0.036785315473845934,0.02321468449130994,0.05156637380517616,0.018433626113348547,0.10426927884476876,0.028635901669420358,3.1036054780641646,1.0433895029729698,0.5,1.4,19.345748485909503,1.0,1.2731246608155108e-05,0.085,0.3,3.16227766e-05,1.0,0.21,0.06913285878479755,0.9308671412920352,4.6936940385900205e-05,4.626818309835219e-19,10.0,5.362488343000045e-05,7.186613510003041e-05,4.626789904178307e-19,9.882320787855742,5.142067465674453e-05,1.0390774045418223,33.035613445205726,0.439995893727535,0.6075684681786817,0.3638264146355814,0.3977726334989745,0.3772240288485171,0.3293237412413105,0.31251026644954305,49.785476373753724,132.2191517015824,5.182345499990559
8524.0,0.12545741623295173,0.04637378714788657,0.025805659711539662,0.20550274285938586,0.6594219503931495,0.12731628794031152,0.5020801641516901,0.051893208662140124,0.009263111189571752,0.3531684197345293,0.35782949713677337,0.025561402804138666,0.13325488235769725,7.892344832343521e-05,0.007507739650174086,0.15344426438967837,0.08483204201272664,1.7691529299908135,0.8748841765367594,0.6951158241594496,0.6239495469069893,0.44984248917841124,0.039336912990641584,1.4200428829397334,0.5396479762721395,0.991155869217495,0.0032236409428062366,0.3090598558468707,0.09654054782291391,0.903459451828566,0.010488650247606182,0.03181869276917105,0.0012372967756780458,0.22879097091127906,0.15004303477792003,0.04770591780136113,0.0004305258597132426,0.0062846499132433575,0.001043717151712666,0.493726682524695,2.994243407724564e-07,0.00038951293710737847,1.4889185729222537e-05,0.005427134423681202,0.0004432251585080279,0.05155677536320391,0.03678667040408839,0.023213329561067468,0.05156635449649968,0.018433645422025045,0.10555022582053317,0.028639012947044906,3.102321529115116,1.0433893936686307,0.5,1.4,19.347793662855842,1.0,1.308305369166826e-05,0.085,0.3,3.16227766e-05,1.0,0.21,0.06966591961475029,0.9303340804620824,4.739470293682501e-05,4.626800785481034e-19,10.0,5.362521159443659e-05,7.124311685155906e-05,4.6222058471525e-19,9.88408807849813,5.1586430060058126e-05,1.0390380261141468,33.03107014488461,0.43999618300503457,0.607642129054745,0.3638288062815818,0.3977727293142062,0.3772240286603647,0.3293244056242037,0.31251026735506177,49.78498971966946,132.21913757051325,5.187007814562045
8525.0,0.12546871741656146,0.04587320980482691,0.02580563695672685,0.20908549647271082,0.6571056470050598,0.1262962773227176,0.5020709738011481,0.05189278340159565,0.009260573803743533,0.3531634141746368,0.35769964733033943,0.025540887920613483,0.13324791558195911,7.90051438158083e-05,0.007492217335287566,0.15144970254465856,0.08483101839232504,1.767384955300238,0.9394106298264439,0.6305893708697651,0.7371008849474945,0.5365752994834652,0.0409506689087264,1.420222309932358,0.5399971866741694,0.9931697002299259,0.0032283959213553425,0.308843913195672,0.10408086802250434,0.8959191316289745,0.01048990455541463,0.031832185255831896,0.0012373759340987861,0.2301983479377428,0.14862182480431677,0.04771090466781486,0.00042999864154512736,0.006285177131411473,0.0010431944036584002,0.49372720527274916,2.9927491618669606e-07,0.0003895130865319644,1.488112685167319e-05,0.00542714248255875,0.0004432594125517866,0.05155674110916015,0.0367885745433418,0.023211425421814067,0.05156629758622109,0.018433702332303653,0.1071722321588502,0.028644431216428044,3.1006942899217553,1.0433892082542913,0.5,1.4,19.350689704004633,1.0,1.3578592665511126e-05,0.085,0.3,3.16227766e-05,1.0,0.21,0.07053220603150759,0.9294677940453254,4.801036300105441e-05,4.626774980132282e-19,10.0,5.3625889690114735e-05,7.056021263969741e-05,4.617012239984597e-19,9.88646056870493,5.183173013089501e-05,1.0390023867472853,33.02489551636183,0.43999655661786596,0.6077335046988366,0.36383344301152626,0.3977728770390783,0.3772240286665375,0.32932589403229495,0.3125102699330053,49.78413321283726,132.21912335708183,5.193397912106195
8526.0,0.12546821719339535,0.04540246825179621,0.025805141182882813,0.21248974518913058,0.6538386308580817,0.12522321931874555,0.5020615253584313,0.05189218431754235,0.009257827142250563,0.35315470413140004,0.357510381962206,0.025521776590915986,0.13324139817054828,7.907059034260075e-05,0.007473440723525667,0.14970549275046086,0.08482941255738131,1.7651755641319344,0.9997942507355471,0.5702057499606619,0.8485907773833277,0.6232732362115397,0.04292260918030624,1.4205272859830618,0.5405548671100453,0.9959079679061458,0.0032325538052239066,0.30857976519484653,0.11264746958902623,0.8873525300624527,0.010491327646172858,0.03184457000342549,0.0012374763945964965,0.23183100628470432,0.14695242732589842,0.04771658882895111,0.00042934622139856316,0.0062858295515580385,0.0010424243512946537,0.4937279753251129,2.99054517781654e-07,0.00038951330693036927,1.486948712402231e-05,0.005427154122286403,0.00044330959023489017,0.051556690931477044,0.03679097198372114,0.023209027981434725,0.05156620083376311,0.018433799084761636,0.10909474696160425,0.028652706133860943,3.0987637783583613,1.0433889300974983,0.5,1.4,19.35443819819432,1.0,1.4196009891808471e-05,0.085,0.3,3.16227766e-05,1.0,0.21,0.07176929768244034,0.9282307023943928,4.87668854599019e-05,4.626739778132864e-19,10.0,5.362704834528295e-05,6.984103581019629e-05,4.61109798853868e-19,9.889374739706088,5.2151018606550656e-05,1.038970017576661,33.01729347525652,0.4399969199670828,0.6078382076789708,0.3638408889603631,0.3977730497032113,0.3772240289305245,0.32932852540655666,0.31251027576010765,49.7828329832615,132.2191090093828,5.201335208536726
8527.0,0.12545238692987093,0.04496025868856642,0.025803797908983392,0.21574419675888043,0.6495892229059275,0.12414682472145135,0.5020552709783681,0.05189140520894982,0.00925495856015489,0.3531436589380428,0.35726144669870225,0.02550380553310859,0.13323601759973777,7.914528797328453e-05,0.007451725625404837,0.14813810845724007,0.08482713511603354,1.7625784784533027,1.0540882833838472,0.5159117173123617,0.960866335834923,0.7075035835748938,0.045188095671154074,1.420988388661982,0.5413504950921313,0.9993540257115726,0.003236256660228707,0.30827769615212025,0.12190733748571628,0.8780926621657626,0.010492874019469751,0.031856010825489764,0.0012375945418232007,0.233635243647428,0.14507920424745452,0.047722804014603035,0.00042859051752724194,0.006286585255429361,0.0010413971782846931,0.49372900249812285,2.987602668506533e-07,0.0003895136011813003,1.4854174679152189e-05,0.005427169434731273,0.00044337746824904604,0.05155662305346289,0.03679379953175954,0.023206200433396315,0.051566069543017165,0.018433930375507574,0.11127954970872031,0.028664320567904484,3.096567746557666,1.0433885447170332,0.5,1.4,19.35900668470577,1.0,1.4912985475499653e-05,0.085,0.3,3.16227766e-05,1.0,0.21,0.07339268944860125,0.926607310628232,4.964728121164415e-05,4.626693886963808e-19,10.0,5.3628806346452495e-05,6.910601056629522e-05,4.604375305075229e-19,9.892748363520043,5.253669262172546e-05,1.0389400435538327,33.008508148722726,0.43999714802553325,0.60795279606526,0.3638515331753821,0.3977731996641798,0.3772240294558274,0.3293325477118579,0.3125102868656615,49.78104358166071,132.2190944679531,5.210593015815413
8528.0,0.12541953875996012,0.044542531459605475,0.02580123174723691,0.21888312954376854,0.6443672065344715,0.12309251294531484,0.5020544617848112,0.05189044495247089,0.009252019445202809,0.35313202207084193,0.3569556229648477,0.02548667165828328,0.1332321928659903,7.923713824308798e-05,0.007427356005010819,0.14669152936559687,0.08482412704158832,1.7596438381805666,1.1015289482768966,0.468471052419312,1.075214847388273,0.7879933281499776,0.047691112337411176,1.4216323699243016,0.5423998980550697,1.0034629760562332,0.003239685070276855,0.3079486043537777,0.13155253398714134,0.8684474656643376,0.010494508885470353,0.031866688111149816,0.0012377264789886196,0.23555995236379051,0.14304439341649078,0.04772942556128589,0.0004277552895607861,0.006287420483395816,0.0010401204244790286,0.49373027925192847,2.983942818287049e-07,0.00038951396716632226,1.4835336004575979e-05,0.0054271882734058495,0.0004434643123735157,0.05155653620933842,0.03679700126616532,0.02320299869899053,0.05156591382339505,0.01843408609512971,0.11368937319611223,0.0286796936431325,3.094143055001308,1.043388039710772,0.5,1.4,19.364335531889143,1.0,1.5709966329336812e-05,0.085,0.3,3.16227766e-05,1.0,0.21,0.07539898526714044,0.9246010148096929,5.063489343022169e-05,4.626635915842581e-19,10.0,5.3631268876483106e-05,6.837293516493909e-05,4.596815814398755e-19,9.896488663286892,5.298075313688592e-05,1.038911602750144,32.998782083681405,0.43999710509549583,0.6080746746464484,0.36386561470868484,0.3977732672267325,0.37722403016009387,0.3293381329980447,0.31251030561041093,49.77874548806535,132.21907966925517,5.220940473328848
8529.0,0.12536941727316372,0.04414484926829019,0.02579710914476558,0.2219365225418563,0.6382159097430427,0.12207015056512407,0.5020604986430399,0.05188930550899623,0.00924903880185989,0.35312159297051327,0.3565972627769877,0.025470112164762995,0.13323017190783018,7.934717533309955e-05,0.007400602843526003,0.14532740774841238,0.08482035820034288,1.7564179029006,1.1421405301360577,0.42785947056015083,1.192131805426462,0.864261129082512,0.050383647205689115,1.4224818029190145,0.5437065232812515,1.0081694839825066,0.0032430017577807875,0.3076030666209285,0.14130744797594624,0.8586925516755328,0.010496206350721678,0.03187676192778113,0.0012378684484207283,0.2375575946499262,0.14088752043224334,0.04773636233396002,0.00042686392861843435,0.006288311844338167,0.001038614931630933,0.4937317847447765,2.9796251508626466e-07,0.0003895143989330646,1.4813296928475616e-05,0.005427210312481952,0.00044357092359989037,0.05155642959811205,0.0368005331870427,0.023199466778113166,0.05156574641176934,0.018434253506755413,0.11628799367452514,0.028699182298004607,3.091525580864705,1.0433874047140894,0.5,1.4,19.37034389692624,1.0,1.6570255558892474e-05,0.085,0.3,3.16227766e-05,1.0,0.21,0.07776909480966296,0.9222309052671702,5.1713375870946554e-05,4.626564480193913e-19,10.0,5.3634527286147086e-05,6.765643620249706e-05,4.588450837524273e-19,9.900498864294855,5.34752066936838e-05,1.0388839761349693,32.988335316899445,0.43999665987370545,0.6082019065710224,0.3638832521397822,0.3977731889711076,0.3772240308630061,0.32934538635925853,0.3125103345709667,49.77594052067715,132.21906454868596,5.232164176824829
