label,compound,type,u1,u2,clusters
237.06_0.705,glycolaldehyde,Combined,7.3739533,7.060821,1
239.06_0.608,DHA,Combined,2.1313088,-0.77905166,2
239.06_0.608,DHA,Isolation,0.9822167,9.798694,5
239.06_0.608,NaOH,Isolation,0.9346982,-2.0109313,2
239.06_0.608,formaldehyde,Combined,0.8716402,-1.0781468,2
239.06_0.608,formaldehyde,Isolation,1.1354172,7.678812,5
239.06_0.608,glycolaldehyde,Combined,0.32484138,-1.4481295,2
239.06_0.644,DHA,Combined,4.2050037,0.89717937,8
239.06_0.644,DHA,Isolation,0.75066024,10.165752,5
239.06_0.644,NaOH,Isolation,1.5074375,0.7009629,4
239.06_0.644,formaldehyde,Combined,3.1026921,-1.1091702,2
239.06_0.644,glycolaldehyde,Combined,1.5380722,0.8419766,4
239.06_0.658,DHA,Combined,2.3256056,-0.72466403,2
239.06_0.658,DHA,Isolation,0.7665987,10.176095,5
239.06_0.658,NaOH,Isolation,1.2699153,-2.129308,2
239.06_0.658,formaldehyde,Combined,2.3011124,-1.6993744,2
239.06_0.658,glycolaldehyde,Combined,0.74675506,-1.516129,2
239.06_0.692,DHA,Combined,6.5633383,5.5929503,1
239.06_0.692,DHA,Isolation,0.20725551,6.05648,6
239.06_0.692,NaOH,Isolation,6.735543,5.808393,1
239.06_0.692,formaldehyde,Combined,7.161809,6.7233067,1
239.06_0.692,formaldehyde,Isolation,0.66702604,8.7887,5
239.06_0.692,glycolaldehyde,Combined,6.913802,5.807909,1
239.06_0.708,DHA,Combined,7.1269116,7.3379707,1
239.06_0.708,NaOH,Isolation,7.3179135,7.1327696,1
239.06_0.708,formaldehyde,Combined,7.948047,6.7704477,1
239.06_0.708,formaldehyde,Isolation,-0.53192824,8.209677,7
239.06_0.708,glycolaldehyde,Combined,7.4148517,7.2019196,1
239.06_0.724,DHA,Combined,7.1774173,7.422778,1
239.06_0.724,DHA,Isolation,0.12707455,5.8010936,6
239.06_0.724,NaOH,Isolation,7.3983665,7.3487606,1
239.06_0.724,formaldehyde,Combined,7.960287,6.7404003,1
239.06_0.724,glycolaldehyde,Combined,7.496044,7.4076457,1
241.03_0.597,DHA,Combined,0.318958,5.2877364,6
241.03_0.597,DHA,Isolation,-0.07062188,5.3172398,6
241.03_0.597,NaOH,Isolation,5.6828284,4.455683,3
241.03_0.597,formaldehyde,Combined,4.6459694,5.084019,3
241.03_0.597,formaldehyde,Isolation,0.83062327,6.3177886,6
241.03_0.597,glycolaldehyde,Combined,5.705729,4.4329596,3
241.03_0.611,DHA,Combined,0.47412494,1.4900084,4
241.03_0.611,DHA,Isolation,0.7081741,6.2270966,6
241.03_0.611,NaOH,Isolation,1.2840192,1.7234434,4
241.03_0.611,formaldehyde,Combined,1.2861046,1.8333185,4
241.03_0.611,formaldehyde,Isolation,0.8811966,7.38796,5
241.03_0.611,glycolaldehyde,Combined,1.1507012,1.6718103,4
241.03_0.611,glycolaldehyde,Isolation,0.95006,6.311614,6
241.03_0.632,DHA,Combined,4.320539,4.4101205,3
241.03_0.632,NaOH,Isolation,4.5661345,4.6161265,3
241.03_0.632,formaldehyde,Combined,4.1568575,4.78576,3
241.03_0.632,glycolaldehyde,Combined,4.495664,4.538497,3
241.03_0.767,DHA,Combined,6.365775,5.8679886,1
241.03_0.767,NaOH,Isolation,8.004971,6.8351426,1
241.03_0.767,formaldehyde,Combined,8.052075,6.7850842,1
241.03_0.767,glycolaldehyde,Combined,7.499612,7.439551,1
243.06_0.61,DHA,Combined,0.4977189,-1.597019,2
243.06_0.61,DHA,Isolation,0.9044084,8.126473,5
243.06_0.61,NaOH,Isolation,1.144831,-1.4803998,2
243.06_0.61,formaldehyde,Combined,1.1197565,-1.2426827,2
243.06_0.61,formaldehyde,Isolation,0.78926724,8.104881,5
243.06_0.61,glycolaldehyde,Combined,0.5891471,-1.6150507,2
243.06_0.61,glycolaldehyde,Isolation,1.0527159,6.3610272,6
243.06_0.646,DHA,Combined,2.7828336,-0.7359818,2
243.06_0.646,DHA,Isolation,0.72204435,9.129045,5
243.06_0.646,NaOH,Isolation,1.3793762,-0.9991447,2
243.06_0.646,formaldehyde,Combined,1.9354279,-1.75373,2
243.06_0.646,formaldehyde,Isolation,-0.70434964,8.19032,7
243.06_0.646,glycolaldehyde,Combined,1.5435041,-1.3640392,2
243.06_0.646,glycolaldehyde,Isolation,1.0599191,6.2201805,6
243.06_0.658,DHA,Combined,2.297022,-1.1216586,2
243.06_0.658,NaOH,Isolation,1.2381294,-1.4969438,2
243.06_0.658,formaldehyde,Combined,1.8770684,-1.8865509,2
243.06_0.658,formaldehyde,Isolation,-0.6227139,8.2711315,7
243.06_0.658,glycolaldehyde,Combined,1.1850679,-1.5484356,2
243.06_0.708,DHA,Combined,7.1896515,6.945611,1
243.06_0.708,NaOH,Isolation,7.2099094,6.9785357,1
243.06_0.708,formaldehyde,Combined,7.232727,6.9148192,1
243.06_0.708,formaldehyde,Isolation,0.89370877,8.194786,5
243.06_0.708,glycolaldehyde,Combined,7.2504573,6.824101,1
243.06_0.708,glycolaldehyde,Isolation,0.8511013,8.298502,5
245.06_0.615,DHA,Combined,0.4569052,-1.7600914,2
245.06_0.615,DHA,Isolation,1.1207222,9.304578,5
245.06_0.615,NaOH,Isolation,1.3133739,-2.8633194,2
245.06_0.615,formaldehyde,Combined,1.3465697,-2.509048,2
245.06_0.615,glycolaldehyde,Combined,0.6898021,-1.9098836,2
245.06_0.65,DHA,Combined,2.4671044,-1.294631,2
245.06_0.65,DHA,Isolation,1.0160134,9.837736,5
245.06_0.65,NaOH,Isolation,1.9288332,-2.900038,2
245.06_0.65,formaldehyde,Combined,2.0006695,-2.9282818,2
245.06_0.65,glycolaldehyde,Combined,1.7378181,-2.8194644,2
245.06_0.664,DHA,Combined,1.404789,-2.74051,2
245.06_0.664,DHA,Isolation,1.0866079,9.63248,5
245.06_0.664,NaOH,Isolation,1.4550472,-2.9946516,2
245.06_0.664,formaldehyde,Combined,1.5760578,-3.055723,2
245.06_0.664,glycolaldehyde,Combined,1.3706462,-2.7779777,2
245.06_0.695,DHA,Combined,1.8081998,0.41521838,4
245.06_0.695,DHA,Isolation,0.9241068,9.0577755,5
245.06_0.695,NaOH,Isolation,1.2461652,-1.1373093,2
245.06_0.695,formaldehyde,Combined,1.6827619,0.5253095,4
245.06_0.695,formaldehyde,Isolation,0.7294342,8.320219,5
245.06_0.695,glycolaldehyde,Combined,4.2341614,0.86780804,8
245.06_0.695,glycolaldehyde,Isolation,0.715146,9.504282,5
245.06_0.719,DHA,Combined,2.0869787,-1.1363326,2
245.06_0.719,NaOH,Isolation,1.318236,-1.3202577,2
245.06_0.719,formaldehyde,Combined,1.8936244,-1.6050633,2
245.06_0.719,glycolaldehyde,Combined,1.8978931,-1.4780912,2
245.06_0.762,DHA,Combined,7.0742636,7.441261,1
245.06_0.762,NaOH,Isolation,7.4187145,7.388891,1
245.06_0.762,formaldehyde,Combined,7.9818983,6.7723565,1
245.06_0.762,glycolaldehyde,Combined,7.451985,7.438025,1
246.07_0.611,DHA,Combined,-0.14103691,-1.2064548,2
246.07_0.611,DHA,Isolation,1.1459324,9.31722,5
246.07_0.611,NaOH,Isolation,0.07747838,-1.147395,2
246.07_0.611,formaldehyde,Combined,0.20837936,-0.57688487,2
246.07_0.611,formaldehyde,Isolation,1.1327748,7.686021,5
246.07_0.611,glycolaldehyde,Combined,-0.07425599,-1.2375406,2
246.07_0.661,DHA,Combined,1.3555738,0.069194876,4
246.07_0.661,DHA,Isolation,1.0983863,9.538888,5
246.07_0.661,NaOH,Isolation,0.86761165,-1.5358572,2
246.07_0.661,formaldehyde,Combined,0.71013016,-1.0830787,2
246.07_0.661,glycolaldehyde,Combined,0.10949265,-1.1528953,2
246.07_0.719,DHA,Combined,2.1227248,-1.2158237,2
246.07_0.719,NaOH,Isolation,1.3727884,-1.3977593,2
246.07_0.719,formaldehyde,Combined,1.8514403,-1.6077139,2
246.07_0.719,glycolaldehyde,Combined,2.0774648,-1.492954,2
249.03_0.605,DHA,Combined,3.8175313,4.091827,3
249.03_0.605,NaOH,Isolation,3.9893274,4.1552844,3
249.03_0.605,formaldehyde,Combined,3.9231415,4.6243205,3
249.03_0.605,glycolaldehyde,Combined,3.9664557,4.110228,3
249.03_0.617,DHA,Combined,1.6229523,0.556088,4
249.03_0.617,DHA,Isolation,0.8605734,8.185147,5
249.03_0.617,NaOH,Isolation,1.1735181,1.3382928,4
249.03_0.617,formaldehyde,Combined,1.056941,1.3804392,4
249.03_0.617,glycolaldehyde,Combined,1.0027019,1.1318707,4
249.03_0.634,DHA,Combined,3.3292382,1.434413,8
249.03_0.634,DHA,Isolation,0.49971062,9.580439,5
249.03_0.634,NaOH,Isolation,2.1258688,1.8789886,4
249.03_0.634,formaldehyde,Combined,1.9033505,1.7251571,4
249.03_0.634,glycolaldehyde,Combined,2.128843,1.8083856,4
249.03_0.7,DHA,Combined,3.674728,5.283589,3
249.03_0.7,formaldehyde,Combined,2.2470827,6.50961,6
249.03_0.7,glycolaldehyde,Combined,3.6534739,5.3078012,3
249.03_0.736,DHA,Combined,6.5410557,5.7737164,1
249.03_0.736,DHA,Isolation,0.007167963,5.4734144,6
249.03_0.736,NaOH,Isolation,7.1494813,6.439697,1
249.03_0.736,formaldehyde,Combined,7.597857,6.4922132,1
249.03_0.736,formaldehyde,Isolation,-1.1431775,8.062499,7
249.03_0.736,glycolaldehyde,Combined,7.2103972,6.4750333,1
249.03_0.757,DHA,Combined,7.1189723,7.3713255,1
249.03_0.757,NaOH,Isolation,7.462624,7.375821,1
249.03_0.757,formaldehyde,Combined,7.998526,6.766874,1
249.03_0.757,glycolaldehyde,Combined,7.5269637,7.374408,1
249.09_0.614,DHA,Combined,1.7052389,0.7901457,4
249.09_0.614,DHA,Isolation,0.8733986,8.099259,5
249.09_0.614,NaOH,Isolation,1.166595,1.3488156,4
249.09_0.614,formaldehyde,Combined,1.1570603,1.4932799,4
249.09_0.614,glycolaldehyde,Combined,1.1299702,1.1959833,4
249.09_0.683,DHA,Combined,7.09107,7.4777017,1
249.09_0.683,DHA,Isolation,0.6209044,5.7892437,6
249.09_0.683,NaOH,Isolation,7.3790026,6.9239683,1
249.09_0.683,formaldehyde,Combined,6.0346146,5.7338743,1
249.09_0.683,formaldehyde,Isolation,0.69455796,9.477221,5
249.09_0.683,glycolaldehyde,Combined,7.2356243,7.382349,1
249.09_0.727,DHA,Combined,7.1102324,7.052559,1
249.09_0.727,DHA,Isolation,-0.05942898,5.388852,6
249.09_0.727,NaOH,Isolation,7.5178533,6.5216637,1
249.09_0.727,formaldehyde,Combined,7.92211,6.7347465,1
249.09_0.727,formaldehyde,Isolation,-1.1674458,8.059509,7
249.09_0.727,glycolaldehyde,Combined,7.694104,6.6323113,1
249.09_0.727,glycolaldehyde,Isolation,0.34887162,5.939538,6
251.06_0.617,DHA,Combined,0.3613501,-1.6233697,2
251.06_0.617,DHA,Isolation,1.1590871,9.477316,5
251.06_0.617,NaOH,Isolation,0.93218374,-2.0335777,2
251.06_0.617,formaldehyde,Combined,1.077268,-2.1065063,2
251.06_0.617,formaldehyde,Isolation,0.9197581,7.938171,5
251.06_0.617,glycolaldehyde,Combined,0.54448503,-1.8148949,2
251.06_0.654,DHA,Combined,2.3520586,-0.8054711,2
251.06_0.654,DHA,Isolation,1.0398179,9.796045,5
251.06_0.654,NaOH,Isolation,1.2048429,-1.409574,2
251.06_0.654,formaldehyde,Combined,1.8458894,-1.6581811,2
251.06_0.654,glycolaldehyde,Combined,0.8594786,-1.773294,2
251.06_0.668,DHA,Combined,2.0793943,-1.0068837,2
251.06_0.668,DHA,Isolation,1.1151853,9.1968975,5
251.06_0.668,NaOH,Isolation,1.117972,-1.7887294,2
251.06_0.668,formaldehyde,Combined,1.0771816,-2.2959862,2
251.06_0.668,glycolaldehyde,Combined,0.64037365,-1.8538574,2
251.06_0.713,DHA,Combined,7.0154114,6.5789824,1
251.06_0.713,NaOH,Isolation,7.229573,6.9981976,1
251.06_0.713,formaldehyde,Combined,7.3065014,6.7756863,1
251.06_0.713,formaldehyde,Isolation,0.71265495,8.743758,5
251.06_0.713,glycolaldehyde,Combined,7.457679,6.934342,1
251.06_0.73,DHA,Combined,7.4356318,7.457657,1
251.06_0.73,NaOH,Isolation,7.635266,7.383717,1
251.06_0.73,formaldehyde,Combined,8.02291,6.7679667,1
251.06_0.73,glycolaldehyde,Combined,7.723167,7.3605757,1
252.07_0.614,DHA,Combined,-0.056622602,-1.2487104,2
252.07_0.614,DHA,Isolation,1.123559,9.196767,5
252.07_0.614,NaOH,Isolation,0.14822091,-1.0888357,2
252.07_0.614,formaldehyde,Combined,0.31618148,-0.45347142,2
252.07_0.614,formaldehyde,Isolation,1.1142261,7.7013607,5
252.07_0.614,glycolaldehyde,Combined,-0.056777857,-1.1975484,2
252.07_0.648,DHA,Combined,3.2610478,1.3294839,8
252.07_0.648,DHA,Isolation,0.8209222,9.663123,5
252.07_0.648,NaOH,Isolation,1.4184374,1.4457366,4
252.07_0.648,formaldehyde,Combined,2.0699365,0.945368,4
252.07_0.648,glycolaldehyde,Combined,1.4648049,0.9783786,4
252.07_0.664,DHA,Combined,1.5037342,0.17601767,4
252.07_0.664,DHA,Isolation,1.099645,9.329598,5
252.07_0.664,NaOH,Isolation,1.1552258,-0.9377686,2
252.07_0.664,formaldehyde,Combined,1.6436808,0.3858719,4
252.07_0.664,glycolaldehyde,Combined,0.8698359,-0.89197576,2
260.07_0.623,DHA,Combined,-0.1263155,-1.2818776,2
260.07_0.623,DHA,Isolation,1.0723692,9.804477,5
260.07_0.623,NaOH,Isolation,0.008933679,-1.4936754,2
260.07_0.623,formaldehyde,Combined,0.19704978,-0.61715716,2
260.07_0.623,glycolaldehyde,Combined,-0.10108428,-1.3292739,2
260.07_0.658,DHA,Combined,1.3402762,0.12731813,4
260.07_0.658,DHA,Isolation,1.0381199,9.938915,5
260.07_0.658,NaOH,Isolation,0.028447567,-1.0767956,2
260.07_0.658,formaldehyde,Combined,0.20434022,-0.5741088,2
260.07_0.658,glycolaldehyde,Combined,-0.023648215,-1.1117674,2
260.07_0.672,DHA,Combined,-0.12868014,-1.2213863,2
260.07_0.672,DHA,Isolation,1.0644851,9.810609,5
260.07_0.672,NaOH,Isolation,-0.049250696,-1.4219832,2
260.07_0.672,formaldehyde,Combined,0.19914377,-0.6057949,2
260.07_0.672,glycolaldehyde,Combined,-0.10586234,-1.3290823,2
260.07_0.724,DHA,Combined,1.0482929,9.1224985,5
260.07_0.724,NaOH,Isolation,4.314658,4.474956,3
260.07_0.724,formaldehyde,Combined,5.568104,4.2580795,3
260.07_0.724,glycolaldehyde,Combined,4.150785,4.327955,3
263.07_0.624,DHA,Combined,0.6503117,-1.3531246,2
263.07_0.624,NaOH,Isolation,0.9572819,-0.9622679,2
263.07_0.624,formaldehyde,Combined,1.1538097,0.49211884,4
263.07_0.624,glycolaldehyde,Combined,0.6979607,-0.65659666,2
263.07_0.685,DHA,Combined,6.1352205,5.2739043,1
263.07_0.685,NaOH,Isolation,6.5571766,5.6768413,1
263.07_0.685,formaldehyde,Combined,5.930938,5.632711,1
263.07_0.685,formaldehyde,Isolation,2.0771308,6.429551,6
263.07_0.685,glycolaldehyde,Combined,6.0071025,5.273333,1
263.07_0.722,DHA,Combined,3.1425557,4.4116197,3
263.07_0.722,DHA,Isolation,0.3916807,10.686093,5
263.07_0.722,NaOH,Isolation,2.9182904,4.2869925,3
263.07_0.722,formaldehyde,Combined,2.9879096,4.2575397,3
263.07_0.722,formaldehyde,Isolation,1.1278993,7.694728,5
263.07_0.722,glycolaldehyde,Combined,3.044061,4.289342,3
263.07_0.738,DHA,Combined,3.2174292,4.4307976,3
263.07_0.738,NaOH,Isolation,7.30178,5.84969,1
263.07_0.738,formaldehyde,Combined,7.722801,6.042588,1
263.07_0.738,glycolaldehyde,Combined,7.3723803,5.8763995,1
263.07_0.784,DHA,Combined,7.227917,7.2595167,1
263.07_0.784,NaOH,Isolation,7.601301,7.372222,1
263.07_0.784,formaldehyde,Combined,7.992052,6.741342,1
263.07_0.784,glycolaldehyde,Combined,7.521857,7.4544253,1
264.03_0.609,DHA,Combined,0.46001324,1.3861977,4
264.03_0.609,DHA,Isolation,-0.064679444,5.341321,6
264.03_0.609,NaOH,Isolation,1.8497739,1.4730742,4
264.03_0.609,formaldehyde,Combined,1.1852794,1.5771236,4
264.03_0.609,formaldehyde,Isolation,0.41859183,6.069762,6
264.03_0.609,glycolaldehyde,Combined,1.7060703,1.2998683,4
264.03_0.644,DHA,Combined,1.8238277,1.6330111,4
264.03_0.644,NaOH,Isolation,2.0356293,1.7701504,4
264.03_0.644,formaldehyde,Combined,1.2711426,1.5935932,4
264.03_0.644,formaldehyde,Isolation,0.26373392,5.9979243,6
264.03_0.644,glycolaldehyde,Combined,1.9019315,1.720464,4
264.03_0.745,DHA,Combined,6.755949,5.968176,1
264.03_0.745,NaOH,Isolation,6.6722784,5.846299,1
264.03_0.745,formaldehyde,Combined,7.1749706,6.690748,1
264.03_0.745,glycolaldehyde,Combined,6.820203,5.89936,1
264.05_0.617,DHA,Combined,0.47854462,1.4264786,4
264.05_0.617,NaOH,Isolation,1.602915,1.53042,4
264.05_0.617,formaldehyde,Combined,1.1586877,1.4532378,4
264.05_0.617,glycolaldehyde,Combined,1.0849254,1.2453756,4
264.05_0.632,DHA,Combined,1.0249909,0.53994584,4
264.05_0.632,NaOH,Isolation,1.1707087,1.3341848,4
264.05_0.632,formaldehyde,Combined,1.0430368,1.2699124,4
264.05_0.632,glycolaldehyde,Combined,0.9732331,1.1443431,4
264.05_0.767,DHA,Combined,7.13017,7.408196,1
264.05_0.767,NaOH,Isolation,7.5892177,7.338099,1
264.05_0.767,formaldehyde,Combined,7.9362946,6.8833394,1
264.05_0.767,glycolaldehyde,Combined,7.3355017,7.343399,1
275.07_0.63,DHA,Combined,-0.13437359,-1.2270671,2
275.07_0.63,DHA,Isolation,1.0287412,9.774734,5
275.07_0.63,NaOH,Isolation,-0.012591786,-1.4385347,2
275.07_0.63,formaldehyde,Combined,0.19257887,-0.62124246,2
275.07_0.63,formaldehyde,Isolation,1.136203,7.6645317,5
275.07_0.63,glycolaldehyde,Combined,-0.08557227,-1.2933662,2
275.07_0.665,DHA,Combined,2.4158747,-0.6982007,2
275.07_0.665,DHA,Isolation,0.982574,9.833155,5
275.07_0.665,NaOH,Isolation,0.75080085,-1.2423947,2
275.07_0.665,formaldehyde,Combined,0.96757865,-1.0764354,2
275.07_0.665,glycolaldehyde,Combined,0.8395327,-1.8189667,2
275.07_0.682,DHA,Combined,-0.1596251,-1.2043047,2
275.07_0.682,NaOH,Isolation,-0.050859153,-1.4217577,2
275.07_0.682,formaldehyde,Combined,0.18685298,-0.627454,2
275.07_0.682,glycolaldehyde,Combined,-0.13202904,-1.3320524,2
275.07_0.74,DHA,Combined,2.4081278,-0.6343523,2
275.07_0.74,DHA,Isolation,0.88193226,9.048788,5
275.07_0.74,NaOH,Isolation,1.311381,-1.0485978,2
275.07_0.74,formaldehyde,Combined,2.5867171,-0.9444343,2
275.07_0.74,formaldehyde,Isolation,0.5832563,9.6821375,5
275.07_0.74,glycolaldehyde,Combined,2.0250857,-1.2215521,2
279.04_0.623,DHA,Combined,2.887222,4.143327,3
279.04_0.623,NaOH,Isolation,2.9046001,4.210691,3
279.04_0.623,formaldehyde,Combined,2.7770712,4.3383436,3
279.04_0.623,glycolaldehyde,Combined,2.9681094,4.213741,3
279.04_0.657,DHA,Combined,2.855163,4.041811,3
279.04_0.657,DHA,Isolation,1.0626755,9.6559725,5
279.04_0.657,NaOH,Isolation,2.8296857,4.0813346,3
279.04_0.657,formaldehyde,Combined,2.2853146,4.1699347,3
279.04_0.657,glycolaldehyde,Combined,2.8614,4.054683,3
279.04_0.768,DHA,Combined,6.46228,5.7271595,1
279.04_0.768,NaOH,Isolation,6.6225758,5.518296,1
279.04_0.768,formaldehyde,Combined,7.413929,6.3456235,1
279.04_0.768,glycolaldehyde,Combined,6.6111455,5.573548,1
290.08_0.64,DHA,Combined,2.1124465,-0.8951774,2
290.08_0.64,DHA,Isolation,0.8906222,9.780029,5
290.08_0.64,NaOH,Isolation,0.9479074,-1.9354659,2
290.08_0.64,formaldehyde,Combined,0.91368854,-1.3476976,2
290.08_0.64,glycolaldehyde,Combined,0.8171022,-1.4797989,2
290.08_0.64,glycolaldehyde,Isolation,0.8850721,8.238931,5
290.08_0.691,DHA,Combined,2.1293945,-1.0105319,2
290.08_0.691,NaOH,Isolation,0.8071801,-2.1268303,2
290.08_0.691,formaldehyde,Combined,1.3523746,-2.8717215,2
290.08_0.691,glycolaldehyde,Combined,0.78915644,-1.9526768,2
290.08_0.754,DHA,Combined,1.2363274,0.8555385,4
290.08_0.754,NaOH,Isolation,1.6209993,1.4953506,4
290.08_0.754,formaldehyde,Combined,0.6874708,9.480853,5
294.04_0.632,DHA,Combined,2.9198778,4.1232758,3
294.04_0.632,NaOH,Isolation,2.990676,4.1196623,3
294.04_0.632,formaldehyde,Combined,2.6656537,4.305845,3
294.04_0.632,glycolaldehyde,Combined,3.02653,4.1340103,3
294.04_0.664,DHA,Combined,1.3789377,0.1657217,4
294.04_0.664,DHA,Isolation,0.9686844,9.660204,5
294.04_0.664,NaOH,Isolation,1.0082343,1.3390173,4
294.04_0.664,formaldehyde,Combined,0.953657,1.4607053,4
294.04_0.664,glycolaldehyde,Combined,0.82274383,1.1581374,4
301.05_0.64,DHA,Combined,0.3812779,5.3164935,6
301.05_0.64,NaOH,Isolation,4.055883,4.2202706,3
301.05_0.64,formaldehyde,Combined,3.8496547,4.9192715,3
301.05_0.64,formaldehyde,Isolation,0.8999876,6.3864226,6
301.05_0.64,glycolaldehyde,Combined,4.048114,4.224635,3
301.05_0.744,DHA,Isolation,0.4547689,7.8182817,5
301.05_0.744,glycolaldehyde,Isolation,0.91616493,7.94792,5
301.05_0.778,DHA,Combined,6.0581193,5.114377,1
301.05_0.778,NaOH,Isolation,5.9841895,5.225257,1
301.05_0.778,formaldehyde,Combined,6.3817186,5.1593404,1
301.05_0.778,glycolaldehyde,Combined,6.109688,5.27364,1
301.09_0.65,DHA,Combined,0.6026565,1.5271254,4
301.09_0.65,NaOH,Isolation,1.2990212,1.8139007,4
301.09_0.65,formaldehyde,Combined,1.2973528,1.931649,4
301.09_0.65,glycolaldehyde,Combined,1.2714303,1.829864,4
301.09_0.767,DHA,Combined,6.0206423,5.0214148,1
301.09_0.767,NaOH,Isolation,6.0163403,5.1483703,1
301.09_0.767,formaldehyde,Combined,6.5843635,5.1529455,1
301.09_0.767,glycolaldehyde,Combined,6.2123437,5.1411743,1
309.05_0.644,DHA,Combined,2.1505134,0.72148,4
309.05_0.644,DHA,Isolation,0.6954442,9.397957,5
309.05_0.644,NaOH,Isolation,1.4912943,1.1917237,4
309.05_0.644,formaldehyde,Combined,1.104422,1.4093524,4
309.05_0.644,glycolaldehyde,Combined,1.6040616,1.0004799,4
309.05_0.794,DHA,Combined,6.554049,5.8479667,1
309.05_0.794,NaOH,Isolation,6.9545293,5.8147984,1
309.05_0.794,formaldehyde,Combined,7.5974536,6.390142,1
309.05_0.794,glycolaldehyde,Combined,6.795031,5.829072,1
309.05_0.821,DHA,Combined,4.106759,1.3536245,8
309.05_0.821,NaOH,Isolation,2.057773,1.8188189,4
309.05_0.821,formaldehyde,Combined,3.6629753,-0.364445,8
309.05_0.821,glycolaldehyde,Combined,0.39276183,5.809213,6
316.06_0.646,DHA,Combined,0.3736427,5.2955284,6
316.06_0.646,DHA,Isolation,0.41004273,5.9594555,6
316.06_0.646,NaOH,Isolation,4.0538006,4.210396,3
316.06_0.646,formaldehyde,Combined,3.690427,5.113876,3
316.06_0.646,formaldehyde,Isolation,0.8191545,6.3183722,6
316.06_0.646,glycolaldehyde,Combined,4.096606,4.234541,3
324.05_0.652,DHA,Combined,2.1266875,0.6988421,4
324.05_0.652,DHA,Isolation,0.69611776,9.328839,5
324.05_0.652,NaOH,Isolation,1.5769827,1.084232,4
324.05_0.652,formaldehyde,Combined,1.10659,1.1970605,4
324.05_0.652,formaldehyde,Isolation,0.58188045,6.1958585,6
324.05_0.652,glycolaldehyde,Combined,1.683482,0.69920665,4
324.05_0.803,DHA,Combined,7.0801477,7.3395886,1
324.05_0.803,NaOH,Isolation,7.099247,7.227964,1
324.05_0.803,formaldehyde,Combined,7.893688,6.79976,1
324.05_0.803,glycolaldehyde,Combined,7.2734013,7.156791,1
329.03_0.64,DHA,Combined,6.4583964,5.0443363,1
329.03_0.64,NaOH,Isolation,5.8835664,4.650587,3
329.03_0.64,formaldehyde,Combined,4.297853,4.8952346,3
329.03_0.64,glycolaldehyde,Combined,5.7303476,4.4513144,3
329.03_0.654,DHA,Combined,0.0038763885,5.57716,6
329.03_0.812,DHA,Combined,1.0072117,-2.5692503,2
329.03_0.812,DHA,Isolation,-0.0746004,5.303964,6
329.03_0.812,NaOH,Isolation,1.4189538,-2.0034137,2
329.03_0.812,formaldehyde,Combined,1.5312436,-0.46164122,4
329.03_0.812,glycolaldehyde,Combined,1.1193097,-1.8880496,2
329.03_0.821,DHA,Combined,1.0004765,-2.611683,2
329.03_0.821,NaOH,Isolation,1.6303707,-1.9999748,2
329.03_0.821,formaldehyde,Combined,1.513359,-0.53213996,4
329.03_0.821,glycolaldehyde,Combined,1.1635879,-1.6799157,2
329.03_0.96,DHA,Combined,1.8973811,-3.7856677,2
329.03_0.96,NaOH,Isolation,1.888946,-3.7785347,2
329.03_0.96,formaldehyde,Combined,1.8662635,-3.8095546,2
329.03_0.96,glycolaldehyde,Combined,1.8637904,-3.7929375,2
339.06_0.656,DHA,Combined,1.2916774,-2.8470185,2
339.06_0.656,NaOH,Isolation,1.4530188,-1.9900446,2
339.06_0.656,formaldehyde,Combined,1.1021868,-1.7360438,2
339.06_0.656,formaldehyde,Isolation,0.4266647,6.1606035,6
339.06_0.656,glycolaldehyde,Combined,1.232406,-1.9768423,2
339.06_0.705,DHA,Combined,3.9643748,4.4290495,3
339.06_0.705,NaOH,Isolation,4.2486973,4.4162316,3
339.06_0.705,formaldehyde,Combined,4.33518,4.486081,3
339.06_0.705,formaldehyde,Isolation,0.14097026,5.8522806,6
339.06_0.705,glycolaldehyde,Combined,4.2542987,4.389801,3
339.06_0.8,DHA,Combined,6.4711223,5.73452,1
339.06_0.8,NaOH,Isolation,6.7901397,5.8404975,1
339.06_0.8,formaldehyde,Combined,7.406579,6.416611,1
339.06_0.8,glycolaldehyde,Combined,6.7650623,5.817949,1
339.06_0.812,DHA,Combined,6.313219,5.723512,1
339.06_0.812,NaOH,Isolation,6.6079803,5.7445292,1
339.06_0.812,formaldehyde,Combined,7.400325,6.2919917,1
339.06_0.812,glycolaldehyde,Combined,6.479203,5.706277,1
339.06_0.831,DHA,Combined,4.8261776,3.6127367,3
339.06_0.831,NaOH,Isolation,4.6162224,4.8019624,3
339.06_0.831,formaldehyde,Combined,5.6378355,4.2959914,3
339.06_0.831,glycolaldehyde,Combined,4.584192,4.850803,3
339.06_0.853,DHA,Combined,4.620197,4.398707,3
339.06_0.853,NaOH,Isolation,-0.8777989,7.6864915,7
339.06_0.853,formaldehyde,Combined,3.8496675,-0.17251368,8
339.06_0.874,DHA,Combined,4.811027,4.802809,3
339.06_0.874,formaldehyde,Combined,6.677733,5.082777,1
339.06_0.933,DHA,Combined,0.85368073,8.820111,5
339.06_0.933,NaOH,Isolation,1.9634204,6.332087,6
339.06_0.933,formaldehyde,Combined,0.7850704,6.305108,6
339.06_0.933,glycolaldehyde,Combined,3.9085457,4.338949,3
354.07_0.672,DHA,Combined,2.551745,3.8816085,3
